co_cnes,resultado
2689537,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2689189,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
2513323,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2513331,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2513382,1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
2436531,894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
2658186,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658194,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658208,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658216,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658224,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658232,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658240,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2658259,330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
2305151,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305194,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305216,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305224,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305232,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
2305240,145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
